uid	name	tla	div_0_name	div_1_name	tier	divisions	active	real_life_tier_name	real_life_name	prestige	completion
2	ACC	ACC	Atlantic	Coastal	1	2	0	FBS	Atlantic Coast	3	champ
3	American	AAC	American	Not Used	1	1	1	FBS	American	2	champ
4	Big 12	B12	Big 12	Not Used	1	1	1	FBS	Big 12	3	champ
5	Big Ten	B10	West	East	1	2	1	FBS	Big Ten	3	champ
6	Conference USA	CUSA	East	West	1	1	1	FBS	Conference USA	2	champ
7	Independents	Ind	Independents	Not Used	1	1	1	FBS	Independents	0	no_completion
8	MAC	MAC	East	West	1	2	1	FBS	Mid-American	2	champ
9	Mountain West 2022	MWC	Mountain	Not Used	1	1	0	FBS	Mountain West (2022)	2	champ
10	Pac-12	P12	Pac-12	Not Used	1	1	1	FBS	Pacific 12	3	champ
11	SEC	SEC	East	West	1	2	1	FBS	Southeastern	3	champ
12	Sun Belt	SB	East	West	1	2	1	FBS	Sun Belt	2	champ
20	ASUN	ASUN	ASUN	Not Used	2	1	0	FCS	ASUN	1	end_season
21	Big Sky	BSky	Big Sky	Not Used	2	1	1	FCS	Big Sky	1	end_season
22	Big South	BSth	Big South	Not Used	2	1	0	FCS	Big South	1	end_season
23	CAA	CAA	CAA	Not Used	2	1	0	FCS	Colonial	1	end_season
24	Ivy League	Ivy	Ivy League	Not Used	2	1	1	FCS	Ivy	1	end_season
25	MEAC	MEAC	MEAC	Not Used	2	1	1	FCS	MEAC	1	end_season
26	Missouri Valley	MVC	Missouri Valley	Not Used	2	1	1	FCS	Missouri Valley	1	end_season
27	Northeast	NEC	Northeast	Not Used	2	1	1	FCS	Northeast	1	end_season
28	Ohio Valley	OVC	Ohio Valley	Not Used	2	1	0	FCS	Ohio Valley	1	end_season
29	Patriot League	PL	Patriot League	Not Used	2	1	1	FCS	Patriot	1	end_season
30	Pioneer	PFL	Pioneer	Not Used	2	1	1	FCS	Pioneer	1	end_season
31	SoCon	SoCon	Southern	Not Used	2	1	1	FCS	Southern	1	end_season
32	Southland	SLnd	Southland	Not Used	2	1	1	FCS	Southland	1	end_season
33	SWAC	SWAC	East	West	2	2	1	FCS	Southwestern	1	champ
34	WAC	WAC	WAC	Not Used	2	1	0	FCS	Western Athletic	1	end_season
13	Mountain West 2023	MWC	Mountain	Not Used	1	1	1	FBS	Mountain West (2023)	2	champ
14	ACC 2023	ACC	Atlantic	Coastal	1	1	1	FBS	Atlantic Coast	3	champ
35	Coastal	Coast	Coastal	Not Used	2	1	1	FCS	Coastal (formerly Colonial)	1	end_season
36	Big South-OVC	BSOVC	Big South-OVC	Not Used	2	1	1	FCS	Big South-OVC	1	end_season
37	United Athletic	UA	United Athletic	Not Used	2	1	1	FCS	United Athletic	1	end_season
38	FCS Independents	FCSInd	Independents	Not Used	2	1	1	FCS	Independents	0	no_completion
